id,disease,location,hospital_name,age_group,treatment_type,budget,total_patient,successful_patients,success_rate,rating
249,Asthma,Nawanshahr,Nawanshahr Prime Healthcare,Teenager,Dialysis,494554,4782,4345,90.86,3.3
250,Kidney Disease,Mohali,Mohali Healthcare Point,Adult,Emergency Care,465888,2577,2564,99.5,2.6
251,Typhoid,Barnala,Barnala Life Care Centre,Teenager,Chemotherapy,310840,2940,1863,63.37,2.6
252,Pneumonia,Muktsar,Muktsar Prime Healthcare,Middle Age,Medication,449162,930,778,83.66,2.8
253,Arthritis,Gurdaspur,Gurdaspur Multicare Hospital,Adult,Dialysis,28720,3331,2102,63.1,3.9
254,Kidney Disease,Hoshiarpur,Hoshiarpur Health Centre,Young Adult,Surgery,207558,4180,3430,82.06,4.4
255,Cancer,Gurdaspur,Gurdaspur Life Care Hospital,Middle Age,Surgery,72456,842,706,83.85,3.4
256,Tuberculosis,Faridkot,Faridkot Life Care Centre,Teenager,Chemotherapy,320864,4220,3354,79.48,3.8
257,Heart Disease,Ludhiana,Ludhiana Medical Centre,Senior Citizen,Dialysis,426509,3930,3421,87.05,3.6
258,Tuberculosis,Nawanshahr,Nawanshahr Health Centre,Middle Age,Dialysis,90197,3269,3223,98.59,4.3
259,Tuberculosis,Firozpur,Firozpur Life Care Hospital,Middle Age,ICU Care,284099,4062,3888,95.72,3.9
260,Tuberculosis,Muktsar,Muktsar City Hospital,Young Adult,Surgery,223387,4831,3528,73.03,4.5
261,Liver Disease,Malerkotla,Malerkotla City Hospital,Adult,Radiotherapy,348718,4788,4054,84.67,3.1
262,Heart Disease,Ludhiana,Ludhiana Advanced Medical Centre,Middle Age,Counselling,411116,3164,2200,69.53,4.6
263,Liver Disease,Pathankot,Pathankot City Hospital,Senior Citizen,Surgery,105025,205,179,87.32,3.3
264,COVID-19,Bathinda,Bathinda Prime Healthcare,Teenager,Vaccination,268097,3913,3853,98.47,4.3
265,Kidney Disease,Abohar,Abohar Health Centre,Teenager,ICU Care,175419,3968,3456,87.1,3.4
266,Thyroid Disorder,Mohali,Mohali Healthcare Point,Middle Age,Dialysis,291404,2952,2312,78.32,4.0
267,Pneumonia,Hoshiarpur,Hoshiarpur City Hospital,Middle Age,Radiotherapy,122895,2488,2281,91.68,3.2
268,COVID-19,Hoshiarpur,Hoshiarpur Life Care Centre,Adult,Dialysis,256555,2907,2891,99.45,4.8
269,Pneumonia,Malerkotla,Malerkotla Multicare Hospital,Child,Counselling,359744,4499,3476,77.26,4.7
270,Arthritis,Barnala,Barnala Multicare Hospital,Teenager,Radiotherapy,27054,2406,2174,90.36,2.7
271,COVID-19,Mansa,Mansa Multicare Hospital,Adult,Chemotherapy,110941,4462,3232,72.43,4.8
272,Heart Disease,Abohar,Abohar Multicare Hospital,Child,Counselling,393440,4857,3404,70.08,3.1
273,Cancer,Khanna,Khanna Health Centre,Teenager,Medication,57532,3435,2737,79.68,4.3
274,Diabetes,Patiala,Patiala Multicare Hospital,Middle Age,Physiotherapy,218336,3946,3344,84.74,4.1
275,Pneumonia,Firozpur,Firozpur Multicare Hospital,Senior Citizen,Medication,481020,782,762,97.44,3.1
276,Thyroid Disorder,Malerkotla,Malerkotla City Hospital,Teenager,Vaccination,467550,1490,931,62.48,5.0
277,Heart Disease,Barnala,Barnala Prime Hospital,Senior Citizen,Radiotherapy,464665,356,215,60.39,3.2
278,Thyroid Disorder,Nawanshahr,Nawanshahr City Hospital,Young Adult,Radiotherapy,243209,4500,3773,83.84,3.7
279,Kidney Disease,Bathinda,Bathinda Advanced Hospital,Adult,Radiotherapy,106088,972,752,77.37,2.9
280,COVID-19,Mansa,Mansa Multicare Hospital,Teenager,Medication,391199,2811,2290,81.47,3.9
281,Liver Disease,Hoshiarpur,Hoshiarpur City Hospital,Senior Citizen,Vaccination,438580,3553,3186,89.67,3.3
282,Heart Disease,Barnala,Barnala City Hospital,Teenager,Emergency Care,174660,2082,1255,60.28,3.2
283,Arthritis,Pathankot,Pathankot Prime Hospital,Young Adult,Dialysis,163306,4821,4372,90.69,3.9
284,COVID-19,Gurdaspur,Gurdaspur Multicare Hospital,Teenager,Medication,355112,1018,848,83.3,3.3
285,Thyroid Disorder,Barnala,Barnala Life Care Centre,Senior Citizen,Radiotherapy,366910,1011,933,92.28,4.8
286,Liver Disease,Firozpur,Firozpur Multicare Hospital,Teenager,Chemotherapy,75028,3967,2693,67.89,3.6
287,Dengue,Nawanshahr,Nawanshahr Multicare Hospital,Senior Citizen,ICU Care,483568,3907,3895,99.69,3.8
288,Arthritis,Khanna,Khanna Health Centre,Teenager,Counselling,462774,720,701,97.36,3.6
289,Hypertension,Abohar,Abohar Multicare Hospital,Middle Age,Surgery,37379,4536,3756,82.8,3.0
290,Heart Disease,Kapurthala,Kapurthala Health Centre,Young Adult,ICU Care,236651,1002,949,94.71,3.0
291,Hypertension,Rupnagar,Rupnagar Prime Hospital,Middle Age,Emergency Care,428987,505,419,82.97,2.8
292,Liver Disease,Sangrur,Sangrur Prime Healthcare,Child,ICU Care,247419,2574,1588,61.69,3.5
293,Liver Disease,Amritsar,Amritsar Prime Healthcare,Child,Medication,227139,2872,1853,64.52,3.9
294,Thyroid Disorder,Ludhiana,Ludhiana City Hospital,Adult,Medication,155518,3399,2407,70.81,4.4
295,Tuberculosis,Tarn Taran,Tarn Taran Prime Hospital,Adult,Emergency Care,460931,3142,2654,84.47,2.7
296,Cancer,Khanna,Khanna Health Centre,Young Adult,Surgery,98571,4451,3474,78.05,3.8
297,Malaria,Malerkotla,Malerkotla Health Centre,Child,Medication,161428,3842,3684,95.89,4.3
298,Dengue,Sangrur,Sangrur Life Care Centre,Teenager,Chemotherapy,246500,2885,2048,70.99,3.2
299,Diabetes,Malerkotla,Malerkotla City Hospital,Senior Citizen,Vaccination,327396,178,136,76.4,3.0
300,Typhoid,Patiala,Patiala Medical Centre,Middle Age,Medication,133311,412,349,84.71,3.6
301,Arthritis,Kapurthala,Kapurthala Health Centre,Child,Physiotherapy,269186,2419,1690,69.86,4.5
302,Liver Disease,Malerkotla,Malerkotla Multicare Hospital,Middle Age,Dialysis,129205,2522,2410,95.56,2.9
303,Dengue,Khanna,Khanna Health Centre,Young Adult,Radiotherapy,36959,4610,3977,86.27,4.7
304,Kidney Disease,Mohali,Mohali Multicare Hospital,Adult,Medication,185572,3172,2977,93.85,3.3
305,Heart Disease,Sangrur,Sangrur Prime Healthcare,Young Adult,Vaccination,101405,4456,3642,81.73,3.1
306,Malaria,Pathankot,Pathankot Multicare Hospital,Senior Citizen,Physiotherapy,427458,3843,2423,63.05,3.9
307,Kidney Disease,Sangrur,Sangrur Life Care Centre,Teenager,Vaccination,132327,2138,1490,69.69,3.3
308,Malaria,Jalandhar,Jalandhar Healthcare Hospital,Young Adult,Surgery,285827,1610,1018,63.23,3.2
309,Malaria,Khanna,Khanna City Hospital,Child,Chemotherapy,426868,4863,4400,90.48,4.2
310,Asthma,Hoshiarpur,Hoshiarpur Multicare Hospital,Young Adult,Radiotherapy,481574,175,132,75.43,4.8
311,COVID-19,Malerkotla,Malerkotla City Hospital,Adult,Chemotherapy,369708,1725,1441,83.54,4.8
312,Arthritis,Kapurthala,Kapurthala Multicare Hospital,Young Adult,Vaccination,249449,4421,3980,90.02,3.4
313,Kidney Disease,Gurdaspur,Gurdaspur Multicare Hospital,Adult,Emergency Care,56699,3896,3896,100.0,4.6
314,Tuberculosis,Hoshiarpur,Hoshiarpur Health Centre,Adult,Medication,299924,1862,1266,67.99,2.5
315,Pneumonia,Kapurthala,Kapurthala Prime Healthcare,Teenager,Chemotherapy,177944,1934,1548,80.04,3.9
316,Kidney Disease,Pathankot,Pathankot Prime Hospital,Senior Citizen,Dialysis,139913,4052,3912,96.54,4.1
317,Heart Disease,Muktsar,Muktsar Prime Healthcare,Senior Citizen,Dialysis,93743,1196,1085,90.72,3.9
318,Kidney Disease,Mohali,Mohali Multispeciality Hospital,Child,Surgery,433865,447,269,60.18,3.5
319,Hypertension,Tarn Taran,Tarn Taran Health Centre,Senior Citizen,Physiotherapy,9792,1841,1621,88.05,3.6
320,Cancer,Ludhiana,Ludhiana Advanced Medical Centre,Adult,Medication,8466,4409,3774,85.6,3.5
321,COVID-19,Amritsar,Amritsar General Care Hospital,Young Adult,ICU Care,155307,190,178,93.68,4.5
322,Arthritis,Khanna,Khanna Prime Healthcare,Teenager,Surgery,486321,839,771,91.9,2.9
323,Kidney Disease,Hoshiarpur,Hoshiarpur Prime Hospital,Young Adult,Dialysis,145155,3301,2141,64.86,3.4
324,Liver Disease,Barnala,Barnala Prime Hospital,Teenager,Chemotherapy,162273,710,442,62.25,2.7
325,Kidney Disease,Barnala,Barnala Prime Hospital,Adult,Medication,338839,127,120,94.49,2.9
326,Cancer,Muktsar,Muktsar Prime Healthcare,Young Adult,Counselling,454818,831,768,92.42,4.8
327,Thyroid Disorder,Pathankot,Pathankot Health Centre,Senior Citizen,Counselling,254299,2270,1409,62.07,4.8
328,Thyroid Disorder,Khanna,Khanna Multicare Hospital,Middle Age,Counselling,350038,319,236,73.98,4.8
329,Asthma,Faridkot,Faridkot City Hospital,Middle Age,Physiotherapy,399397,3312,2144,64.73,3.2
330,Liver Disease,Rupnagar,Rupnagar Health Centre,Adult,ICU Care,178921,3194,2202,68.94,4.5
331,Kidney Disease,Abohar,Abohar City Hospital,Senior Citizen,Dialysis,33152,850,733,86.24,3.1
332,Liver Disease,Jalandhar,Jalandhar Life Care Hospital,Middle Age,Counselling,212986,2723,1693,62.17,4.1
333,Asthma,Mansa,Mansa Prime Hospital,Young Adult,ICU Care,498429,3125,2759,88.29,3.0
334,Hypertension,Rupnagar,Rupnagar Prime Hospital,Middle Age,Radiotherapy,423410,2068,1970,95.26,2.7
335,Dengue,Gurdaspur,Gurdaspur Health Centre,Senior Citizen,Physiotherapy,392792,3241,2592,79.98,3.4
336,Pneumonia,Jalandhar,Jalandhar Care Hospital,Adult,Dialysis,404164,2259,1459,64.59,2.8
337,Typhoid,Mohali,Mohali Multicare Hospital,Middle Age,ICU Care,273666,3392,2246,66.21,2.6
338,Hypertension,Moga,Moga Life Care Hospital,Middle Age,Counselling,416271,2707,2412,89.1,2.5
339,Arthritis,Sangrur,Sangrur Prime Healthcare,Child,ICU Care,479589,2038,1807,88.67,3.8
340,Heart Disease,Khanna,Khanna Prime Healthcare,Teenager,Radiotherapy,162879,2248,1852,82.38,2.9
341,Pneumonia,Mohali,Mohali Multicare Hospital,Adult,Radiotherapy,258876,680,592,87.06,3.1
342,Liver Disease,Pathankot,Pathankot Prime Hospital,Middle Age,Chemotherapy,245051,926,624,67.39,3.3
343,Malaria,Barnala,Barnala Multicare Hospital,Middle Age,Vaccination,426567,2749,2550,92.76,3.3
344,Pneumonia,Tarn Taran,Tarn Taran Health Centre,Young Adult,Counselling,369533,1695,1507,88.91,3.3
345,Pneumonia,Barnala,Barnala Multicare Hospital,Senior Citizen,Emergency Care,306926,2035,1554,76.36,3.4
346,Hypertension,Barnala,Barnala Multicare Hospital,Middle Age,Chemotherapy,315497,4519,3079,68.13,4.2
347,COVID-19,Kapurthala,Kapurthala City Hospital,Adult,Chemotherapy,234876,2436,2312,94.91,4.2
348,Heart Disease,Sangrur,Sangrur Prime Healthcare,Senior Citizen,Radiotherapy,131888,2119,1945,91.79,2.9
349,Hypertension,Sangrur,Sangrur Prime Healthcare,Adult,Counselling,256257,4819,3711,77.01,3.8
350,Kidney Disease,Abohar,Abohar Prime Hospital,Child,Dialysis,372858,4448,3884,87.32,4.1
351,Arthritis,Jalandhar,Jalandhar City Hospital,Teenager,Dialysis,92209,412,391,94.9,5.0
352,Arthritis,Khanna,Khanna Prime Healthcare,Young Adult,Vaccination,60545,136,87,63.97,3.1
353,Typhoid,Fazilka,Fazilka Health Centre,Young Adult,Vaccination,247778,4871,4336,89.02,3.8
354,Typhoid,Moga,Moga City Hospital,Child,Radiotherapy,223090,753,510,67.73,4.6
355,Tuberculosis,Malerkotla,Malerkotla Health Centre,Young Adult,Dialysis,243725,1744,1579,90.54,3.7
356,Typhoid,Muktsar,Muktsar City Hospital,Senior Citizen,Emergency Care,172200,600,436,72.67,2.6
357,Diabetes,Abohar,Abohar City Hospital,Young Adult,Surgery,360016,1396,1086,77.79,3.8
358,Tuberculosis,Kapurthala,Kapurthala Health Centre,Middle Age,Vaccination,247249,1949,1583,81.22,4.1
359,Dengue,Mohali,Mohali Multicare Hospital,Child,Counselling,467997,1666,1459,87.58,4.0
360,COVID-19,Barnala,Barnala City Hospital,Teenager,Chemotherapy,150932,562,484,86.12,2.8
361,Tuberculosis,Kapurthala,Kapurthala Health Centre,Young Adult,Chemotherapy,244888,983,723,73.55,4.2
362,Liver Disease,Muktsar,Muktsar Multicare Hospital,Adult,Counselling,210806,4858,3147,64.78,3.4
363,Malaria,Mansa,Mansa Health Centre,Senior Citizen,Radiotherapy,486654,4884,3103,63.53,4.2
364,Asthma,Faridkot,Faridkot City Hospital,Young Adult,Surgery,100968,3108,2153,69.27,3.8
365,Heart Disease,Sangrur,Sangrur Life Care Centre,Middle Age,Vaccination,226794,1571,1440,91.66,4.1
366,Kidney Disease,Abohar,Abohar Health Centre,Teenager,Emergency Care,156432,1199,814,67.89,3.3
367,Malaria,Mansa,Mansa City Hospital,Young Adult,Medication,259074,1168,799,68.41,4.5
368,Dengue,Kapurthala,Kapurthala Prime Healthcare,Senior Citizen,Emergency Care,222910,3686,3211,87.11,2.9
369,Arthritis,Rupnagar,Rupnagar City Hospital,Teenager,Radiotherapy,22141,2301,1610,69.97,3.8
370,Liver Disease,Mohali,Mohali Healthcare Point,Senior Citizen,Emergency Care,293214,4234,2771,65.45,3.9
371,Malaria,Gurdaspur,Gurdaspur Life Care Hospital,Young Adult,ICU Care,436285,390,346,88.72,3.9
372,COVID-19,Sangrur,Sangrur City Hospital,Senior Citizen,Chemotherapy,161085,314,245,78.03,3.2
373,Malaria,Jalandhar,Jalandhar Healthcare Hospital,Child,Chemotherapy,115036,4866,4330,88.98,3.4
374,Heart Disease,Abohar,Abohar Prime Hospital,Middle Age,Physiotherapy,416487,1742,1256,72.1,4.5
375,Kidney Disease,Rupnagar,Rupnagar Multicare Hospital,Young Adult,Counselling,287469,1429,1188,83.14,4.9
376,Liver Disease,Firozpur,Firozpur Multicare Hospital,Young Adult,ICU Care,476940,830,567,68.31,4.9
377,Pneumonia,Sangrur,Sangrur City Hospital,Senior Citizen,Physiotherapy,372749,1137,809,71.15,2.9
378,Arthritis,Faridkot,Faridkot Health Centre,Senior Citizen,Vaccination,261617,1214,1023,84.27,4.1
379,Dengue,Tarn Taran,Tarn Taran Prime Hospital,Adult,Surgery,337203,812,693,85.34,3.8
380,Typhoid,Gurdaspur,Gurdaspur Multicare Hospital,Adult,Dialysis,310112,70,69,98.57,4.4
381,COVID-19,Malerkotla,Malerkotla City Hospital,Adult,Dialysis,450700,568,543,95.6,3.8
382,Malaria,Hoshiarpur,Hoshiarpur Multicare Hospital,Teenager,Emergency Care,145790,2694,2196,81.51,3.3
383,Liver Disease,Rupnagar,Rupnagar Health Centre,Adult,Dialysis,473794,446,278,62.33,2.7
384,Hypertension,Mansa,Mansa City Hospital,Teenager,Emergency Care,244346,55,46,83.64,3.0
385,Thyroid Disorder,Abohar,Abohar Health Centre,Senior Citizen,Radiotherapy,88349,2294,1471,64.12,4.1
386,Tuberculosis,Gurdaspur,Gurdaspur City Hospital,Senior Citizen,Physiotherapy,32151,3296,3258,98.85,3.3
387,Dengue,Abohar,Abohar Health Centre,Senior Citizen,Surgery,373940,829,497,59.95,3.0
388,Liver Disease,Jalandhar,Jalandhar Multicare Centre,Teenager,ICU Care,361506,3695,2236,60.51,2.5
389,Malaria,Faridkot,Faridkot City Hospital,Adult,Physiotherapy,255452,630,436,69.21,3.5
390,Hypertension,Malerkotla,Malerkotla City Hospital,Young Adult,Dialysis,466891,2501,1640,65.57,3.5
391,Cancer,Bathinda,Bathinda Medical Point,Teenager,Surgery,283139,4664,2815,60.36,4.0
392,Tuberculosis,Mohali,Mohali Healthcare Point,Senior Citizen,Chemotherapy,334294,1290,1195,92.64,4.0
393,Hypertension,Mansa,Mansa Health Centre,Child,Physiotherapy,399498,1058,935,88.37,4.3
394,Tuberculosis,Moga,Moga Prime Healthcare,Teenager,Chemotherapy,150210,740,571,77.16,3.9
395,Arthritis,Nawanshahr,Nawanshahr Multicare Hospital,Senior Citizen,Medication,449539,2521,1722,68.31,3.8
396,COVID-19,Fazilka,Fazilka Health Centre,Adult,Radiotherapy,343779,497,359,72.23,3.7
397,Typhoid,Patiala,Patiala Health Centre,Senior Citizen,Counselling,42230,4377,2650,60.54,5.0
398,Dengue,Faridkot,Faridkot Health Centre,Middle Age,Vaccination,196581,4525,4113,90.9,2.9
399,Diabetes,Muktsar,Muktsar City Hospital,Middle Age,Surgery,12231,2197,1538,70.0,2.6
400,Kidney Disease,Ludhiana,Ludhiana Healthcare Centre,Young Adult,ICU Care,407186,3453,2938,85.09,4.3
401,Pneumonia,Jalandhar,Jalandhar Multicare Centre,Child,Radiotherapy,46430,4238,2958,69.8,4.9
402,Tuberculosis,Bathinda,Bathinda Life Care Centre,Adult,Counselling,337552,591,433,73.27,4.2
403,Diabetes,Malerkotla,Malerkotla Health Centre,Teenager,Surgery,489771,3609,2402,66.56,3.6
404,Pneumonia,Nawanshahr,Nawanshahr City Hospital,Senior Citizen,Physiotherapy,67622,153,136,88.89,2.8
405,Typhoid,Amritsar,Amritsar Multicare Hospital,Young Adult,ICU Care,276173,2173,1473,67.79,3.4
406,COVID-19,Malerkotla,Malerkotla Multicare Hospital,Child,Medication,180642,3567,2697,75.61,3.8
407,Cancer,Gurdaspur,Gurdaspur Life Care Hospital,Child,Emergency Care,243654,4234,3277,77.4,2.6
408,Tuberculosis,Rupnagar,Rupnagar Health Centre,Teenager,Radiotherapy,410447,892,828,92.83,4.2
409,COVID-19,Patiala,Patiala Health Centre,Middle Age,Medication,28088,150,105,70.0,2.6
410,Thyroid Disorder,Moga,Moga Prime Healthcare,Teenager,Physiotherapy,493196,339,310,91.45,3.1
411,Thyroid Disorder,Pathankot,Pathankot Prime Hospital,Senior Citizen,Dialysis,147217,688,602,87.5,2.8
412,Heart Disease,Khanna,Khanna City Hospital,Teenager,ICU Care,29079,3334,2141,64.22,4.7
413,Tuberculosis,Firozpur,Firozpur Multicare Hospital,Child,ICU Care,244466,115,92,80.0,3.0
414,COVID-19,Rupnagar,Rupnagar Multicare Hospital,Middle Age,Chemotherapy,248231,3066,3050,99.48,4.9
415,Thyroid Disorder,Hoshiarpur,Hoshiarpur Life Care Centre,Middle Age,Chemotherapy,83940,102,87,85.29,2.6
416,Cancer,Kapurthala,Kapurthala Multicare Hospital,Senior Citizen,Medication,180645,61,60,98.36,4.1
417,Hypertension,Malerkotla,Malerkotla Multicare Hospital,Teenager,ICU Care,129868,3489,3100,88.85,4.9
418,Pneumonia,Bathinda,Bathinda Medical Point,Child,Medication,488013,1946,1699,87.31,3.5
419,COVID-19,Moga,Moga Prime Healthcare,Child,Counselling,55109,4190,2787,66.52,4.1
420,Liver Disease,Barnala,Barnala City Hospital,Middle Age,Medication,233056,1120,793,70.8,3.2
421,COVID-19,Faridkot,Faridkot Prime Hospital,Senior Citizen,Dialysis,171753,3758,2810,74.77,3.1
422,Arthritis,Hoshiarpur,Hoshiarpur City Hospital,Middle Age,Surgery,86479,915,633,69.18,3.6
423,Hypertension,Faridkot,Faridkot Prime Hospital,Middle Age,Dialysis,408878,1750,1512,86.4,3.3
424,Hypertension,Gurdaspur,Gurdaspur City Hospital,Teenager,Radiotherapy,438264,4992,3077,61.64,3.0
425,Hypertension,Faridkot,Faridkot Health Centre,Senior Citizen,Chemotherapy,191511,3296,3028,91.87,2.6
426,Malaria,Firozpur,Firozpur Multicare Hospital,Teenager,Medication,217017,3754,3390,90.3,4.4
427,Typhoid,Pathankot,Pathankot City Hospital,Child,Physiotherapy,68676,147,91,61.9,4.6
428,Asthma,Pathankot,Pathankot Health Centre,Adult,Dialysis,364811,738,574,77.78,4.8
429,Hypertension,Jalandhar,Jalandhar Care Hospital,Teenager,Emergency Care,429305,1105,710,64.25,4.8
430,Diabetes,Faridkot,Faridkot City Hospital,Adult,Medication,93074,4751,3737,78.66,4.6
431,Diabetes,Barnala,Barnala Prime Hospital,Adult,Vaccination,95600,2949,2208,74.87,4.8
432,Typhoid,Gurdaspur,Gurdaspur Multicare Hospital,Teenager,Medication,326968,2063,1899,92.05,3.2
433,Typhoid,Sangrur,Sangrur Life Care Centre,Child,Surgery,151683,3187,2193,68.81,3.5
434,Cancer,Tarn Taran,Tarn Taran Health Centre,Middle Age,Medication,205539,2991,2776,92.81,3.9
435,Thyroid Disorder,Muktsar,Muktsar Multicare Hospital,Middle Age,ICU Care,173613,3231,2491,77.1,2.9
436,Asthma,Faridkot,Faridkot Life Care Centre,Child,Radiotherapy,35718,3914,3432,87.69,3.4
437,Heart Disease,Rupnagar,Rupnagar Health Centre,Child,Chemotherapy,349386,2025,1487,73.43,3.8
438,Arthritis,Malerkotla,Malerkotla City Hospital,Teenager,Counselling,448812,3231,2664,82.45,4.8
439,Asthma,Mohali,Mohali Advanced Hospital,Middle Age,Dialysis,427686,2989,1850,61.89,4.3
440,Liver Disease,Moga,Moga Life Care Hospital,Teenager,Counselling,103688,4082,3559,87.19,3.3
441,Hypertension,Muktsar,Muktsar City Hospital,Child,Chemotherapy,320444,1842,1125,61.07,3.8
442,Thyroid Disorder,Amritsar,Amritsar Advanced Hospital,Middle Age,Chemotherapy,427809,1118,844,75.49,4.3
443,Diabetes,Faridkot,Faridkot City Hospital,Teenager,Counselling,374463,1210,1122,92.73,2.8
444,Hypertension,Fazilka,Fazilka Multicare Hospital,Young Adult,Vaccination,312241,877,698,79.59,3.3
445,COVID-19,Bathinda,Bathinda City Hospital,Adult,Emergency Care,345357,2649,1945,73.42,4.3
446,Asthma,Kapurthala,Kapurthala Multicare Hospital,Senior Citizen,Counselling,432008,1486,1278,86.0,3.3
447,Heart Disease,Abohar,Abohar Multicare Hospital,Teenager,Medication,373054,4742,3646,76.89,4.6
448,Heart Disease,Rupnagar,Rupnagar City Hospital,Middle Age,Dialysis,487889,1859,1769,95.16,3.9
449,Tuberculosis,Muktsar,Muktsar Health Centre,Senior Citizen,Surgery,129778,2891,2388,82.6,2.9
450,Typhoid,Jalandhar,Jalandhar Life Care Hospital,Child,Radiotherapy,114934,2094,1965,93.84,2.7
451,COVID-19,Gurdaspur,Gurdaspur City Hospital,Child,Medication,207342,3639,3042,83.59,4.9
452,Thyroid Disorder,Sangrur,Sangrur Prime Healthcare,Adult,Dialysis,291273,3124,2081,66.61,4.6
453,Heart Disease,Rupnagar,Rupnagar Health Centre,Adult,Surgery,424008,323,268,82.97,2.6
454,Hypertension,Gurdaspur,Gurdaspur City Hospital,Young Adult,Physiotherapy,470531,3125,2204,70.53,4.3
455,Tuberculosis,Kapurthala,Kapurthala City Hospital,Middle Age,Counselling,473307,4004,3844,96.0,2.6
456,Liver Disease,Tarn Taran,Tarn Taran Health Centre,Adult,Physiotherapy,33078,879,696,79.18,3.0
457,COVID-19,Hoshiarpur,Hoshiarpur Multicare Hospital,Middle Age,ICU Care,144075,2356,1717,72.88,3.1
458,Liver Disease,Ludhiana,Ludhiana Healthcare Centre,Middle Age,Emergency Care,85525,496,389,78.43,2.5
459,Malaria,Jalandhar,Jalandhar Health Point,Senior Citizen,Counselling,256830,1685,1110,65.88,2.6
460,Hypertension,Mohali,Mohali Life Care Hospital,Adult,Surgery,166665,3306,2947,89.14,3.7
461,Hypertension,Khanna,Khanna Multicare Hospital,Senior Citizen,ICU Care,208175,1564,1317,84.21,4.7
462,Typhoid,Moga,Moga Health Centre,Child,Radiotherapy,235550,3859,2854,73.96,3.1
463,Diabetes,Gurdaspur,Gurdaspur Life Care Hospital,Teenager,Surgery,49935,2866,2827,98.64,3.5
464,Kidney Disease,Rupnagar,Rupnagar Health Centre,Child,Vaccination,434080,4330,3455,79.79,4.9
465,Liver Disease,Khanna,Khanna Prime Healthcare,Teenager,Emergency Care,161684,696,619,88.94,4.8
466,Kidney Disease,Abohar,Abohar City Hospital,Middle Age,ICU Care,424666,4731,4225,89.3,5.0
